Age(eg.21),Gender,Occupation,What is your personal monthly income?  ,Where do you reside? ,Do you use UPI for transactions?  ,What are your reasons for not using UPI? (Select all that apply)  ,How often do you use UPI for transactions? ,Which UPI app have you been primarily using for the past 6 months?  ,"Do you use any other UPI apps for transactions besides your primary UPI app? If yes, please specify  ","How satisfied are you with the following features of your UPI app?   [Transaction Speed	]","How satisfied are you with the following features of your UPI app?   [Bill Payment	]","How satisfied are you with the following features of your UPI app?   [Payment Reminders	]","How satisfied are you with the following features of your UPI app?   [User Interface	]",How satisfied are you with the following features of your UPI app?   [Security Features],How satisfied are you with the following features of your UPI app?   [Coverage (Merchant & Bank Support)],What types of transactions do you use your UPI app for? (Select frequency for each type) [Peer-to-peer transfers],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Bill payments(e.g., electricity, water, gas, broadband)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Mobile recharges and DTH payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Online shopping],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Ticket bookings (movies, flights, etc.)]","What types of transactions do you use your UPI app for? (Select frequency for each type) [Government-related payments (taxes, fines, etc.)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Offline merchant payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Loan or EMI Repayments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Donations],What type of rewards or cashback offers do you find most attractive?  (Multiple choices),Which payment method do you use the most besides your UPI app? ,What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction speed],What factors influence your choice of UPI app? (Rate the importance of each factor) [Security & Fraud Protection],What factors influence your choice of UPI app? (Rate the importance of each factor) [Cashback/Rewards],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of use],What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction limits (maximum transaction amount allowed)],What factors influence your choice of UPI app? (Rate the importance of each factor) [24/7 Customer Support Availability],"What factors influence your choice of UPI app? (Rate the importance of each factor) [Payment Reminder Feature (Bills, Subscriptions, EMI, Rent, etc.)]",What factors influence your choice of UPI app? (Rate the importance of each factor) [User interface & experience],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of linking bank accounts],Have you ever hesitated to make a large transaction using UPI due to security concerns?  ,What challenges do you face while using UPI apps?    ,"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Dependency on cash/cards	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Frequency of digital transactions],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Ability to track expenses	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Bill Payments & Subscription Management],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Savings habits	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Impulse buying behavior],How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Payment convenience at small/local merchant],"Do you use your UPI app for business-related transactions (e.g., receiving payments from clients)? ",How often do you use UPI apps for payments at small/local merchants? ,How satisfied are you with your primary UPI app overall ? ,Would you recommend your UPI app to others ?
23,Female,Salaried Professional,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Never,Rarely,Monthly,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts,Net banking,Important,Very Important,Very Important,Important,Moderately Important,Very Important,Important,Important,Important,Yes,Transaction Failures,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Increased,No Change,No Change,Moderately Declined,No,Rarely,3,9
22,Female,Salaried Professional,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Weekly,Weekly,Weekly,Monthly,Weekly,Weekly,Weekly,Weekly,Weekly,Special discounts on partner merchant stores,Debit card,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Yes,Technical Glitches,Significantly  Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Yes,Frequently,2,2
21,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Paytm,Google Pay,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Daily,Monthly,Never,Rarely,Monthly,Rarely,Monthly,Rarely,Rarely,Cashbacks on transaction amounts;Referral bonuses for inviting friends,Net banking,Moderately Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Increased,Moderately Increased,Significantly Increased,Significantly Increased,Moderately Increased,Significantly Increased,Significantly Increased,Yes,Frequently,4,8
24,Male,Student,"Below ₹20,000",Rural,Yes,,Daily,Paytm,Google Pay,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Daily,Rarely,Monthly,Monthly,Rarely,Rarely,Weekly,Weekly,Monthly,Exclusive offers on financial products,Net banking,Important,Important,Slightly Important,Very Important,Moderately Important,Very Important,Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Significantly  Declined,Moderately Declined,Moderately Declined,Significantly  Declined,Moderately Declined,Moderately Declined,Yes,Frequently,4,8
21,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Paytm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Never,Never,Never,Never,Never,Never,Never,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Exclusive offers on financial products,Debit card,Important,Important,Important,Important,Important,Important,Important,Important,Important,No,Technical Glitches;Transaction Failures;Other,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No,Frequently,4,9
24,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Amazon Pay.,Google Pay;Paytm,Very Satisfied,Very Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Daily,Weekly,Weekly,Weekly,Monthly,Monthly,Daily,Rarely,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores,Cash,Very Important,Very Important,Important,Important,Very Important,Important,Not Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,No Change,Moderately Increased,No Change,No Change,Significantly Increased,No,Frequently,5,10
23,Female,Salaried Professional,"Above ₹1,00,000",Rural,No,Prefer cash transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Male,Student,"Below ₹20,000",Semi urban,No,Prefer cash transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Female,Student,"Below ₹20,000",Semi urban,No,"Not familiar with UPI;Prefer cash transactions;Prefer other payment methods (cards, wallets, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Female,Student,"Below ₹20,000",Semi urban,No,Prefer cash transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Female,Student,"Below ₹20,000",Semi urban,Yes,,Monthly,Google Pay,Google Pay,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Monthly,Monthly,Monthly,Rarely,Rarely,Never,Monthly,Rarely,Never,Exclusive offers on financial products,Credit card,Very Important,Very Important,Slightly Important,Important,Important,Very Important,Important,Important,Very Important,Yes,Security Concerns;Lack of Awareness,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Increased,No Change,Moderately Increased,Moderately Increased,Yes,Frequently,4,9
25,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Semi urban,Yes,,Daily,Google Pay,PhonePe;Paytm,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Daily,Monthly,Monthly,Weekly,Monthly,Monthly,Cashbacks on transaction amounts;Referral bonuses for inviting friends,Cash,Important,Very Important,Important,Important,Important,Very Important,Important,Important,Very Important,Yes,Transaction Failures;Security Concerns,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Increased,No,Frequently,4,8
18,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay;Amazon Pay;BHIM UPI,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Rarely,Daily,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Important,Important,Important,Important,Very Important,Important,Very Important,No,Technical Glitches;Transaction Failures,No Change,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Declined,Moderately Increased,Moderately Increased,No,Frequently,2,10
22,Male,Salaried Professional,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,PhonePe,Very Satisfied,Very Satisfied,Neutral,Satisfied,Neutral,Satisfied,Daily,Monthly,Monthly,Weekly,Weekly,Never,Daily,Never,Rarely,Cashbacks on transaction amounts,Credit card,Very Important,Very Important,Very Important,Important,Moderately Important,Moderately Important,Slightly Important,Not Important,Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,No Change,Moderately Increased,Moderately Declined,Moderately Increased,Significantly Increased,No,Frequently,5,10
18,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,PhonePe,Paytm,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Rarely,Monthly,Monthly,Rarely,Rarely,Rarely,Monthly,Never,Never,Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores,Cash,Very Important,Very Important,Moderately Important,Important,Important,Very Important,Important,Important,Very Important,Yes,Transaction Failures,Moderately Declined,Moderately Increased,No Change,No Change,No Change,Moderately Increased,Moderately Increased,Yes,Occasionally,4,8
17,Male,Student,"Below ₹20,000",Urban,No,Not familiar with UPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Male,Student,"Below ₹20,000",Urban,No,"Not familiar with UPI;Prefer cash transactions;Prefer other payment methods (cards, wallets, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Student,"Below ₹20,000",Rural,No,Security concerns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Student,"₹20,000 - ₹50,000",Urban,No,Transaction failure issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Male,Student,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,PhonePe;Paytm,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Weekly,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Important,Important,Important,Important,Very Important,Moderately Important,Moderately Important,Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Increased,No Change,No Change,No Change,No Change,Significantly Increased,Yes,Frequently,4,8
24,Male,Business Owner,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,PhonePe,Google Pay;PhonePe,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Special discounts on partner merchant stores;Exclusive offers on financial products;,Debit card,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,No,Other,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Yes,Frequently,1,10
25,Male,Freelancer/Gig Worker,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,PhonePe,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Weekly,Monthly,Monthly,Monthly,Monthly,Rarely,Never,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches,Significantly  Declined,Significantly Increased,Significantly Increased,Moderately Increased,Moderately Declined,Significantly Increased,Moderately Increased,No,Occasionally,4,9
25,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Google Pay;PhonePe,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Daily,Never,Monthly,Rarely,Monthly,Never,Monthly,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores;Exclusive offers on financial products,Debit card,Important,Important,Important,Important,Important,Important,Important,Important,Important,Yes,Technical Glitches;Transaction Failures;Security Concerns;Lack of Awareness,Moderately Increased,Moderately Increased,No Change,Moderately Increased,Significantly Increased,Moderately Increased,Significantly Increased,Yes,Frequently,4,5
28,Male,Salaried Professional,"₹20,000 - ₹50,000",Rural,Yes,,Daily,PhonePe,PhonePe,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Monthly,Monthly,Daily,Rarely,Rarely,Never,Rarely,Never,Exclusive offers on financial products,Debit card,Important,Important,Important,Important,Important,Important,Important,Important,Important,Yes,Transaction Failures,Moderately Increased,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Increased,No,Rarely,5,9
23,Male,Student,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Cashbacks on transaction amounts;,Net banking,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Yes,Transaction Failures,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Yes,Frequently,1,1
24,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Paytm;Amazon Pay,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Very Dissatisfied,Weekly,Monthly,Monthly,Rarely,Rarely,Rarely,Daily,Never,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Moderately Important,Very Important,Very Important,No,Technical Glitches,Moderately Declined,Significantly  Declined,No Change,Significantly  Declined,Moderately Declined,Moderately Declined,No Change,Yes,Occasionally,4,3
27,Male,Salaried Professional,"₹20,000 - ₹50,000",Rural,Yes,,Daily,Google Pay,Google Pay,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Monthly,Monthly,Weekly,Rarely,Rarely,Daily,Never,Rarely,Cashbacks on transaction amounts,Net banking,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Significantly Increased,Significantly Increased,No Change,No Change,Significantly Increased,No Change,Significantly Increased,No,Frequently,5,10
21,Male,Freelancer/Gig Worker,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay,Very Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Weekly,Daily,Daily,Weekly,Weekly,Weekly,Daily,Weekly,Weekly,Referral bonuses for inviting friends,Debit card,Not Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Not Important,Not Important,Slightly Important,Not Important,No,Technical Glitches,Moderately Declined,Moderately Declined,Significantly  Declined,Significantly  Declined,Moderately Declined,Moderately Declined,Significantly  Declined,Yes,Occasionally,3,3
25,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Google Pay,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Monthly,Rarely,Never,Rarely,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Credit card,Important,Very Important,Moderately Important,Important,Important,Very Important,Very Important,Important,Very Important,No,Technical Glitches;Transaction Failures,Moderately Increased,Significantly Increased,Significantly Increased,Moderately Increased,Moderately Declined,Significantly Increased,No Change,Yes,Frequently,5,10
29,Male,Salaried Professional,"Above ₹1,00,000",Urban,Yes,,Daily,Google Pay,PhonePe,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Weekly,Monthly,Monthly,Daily,Monthly,Never,Never,Never,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Important,Very Important,Moderately Important,Important,Very Important,Very Important,Important,Very Important,Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Declined,Moderately Increased,Significantly Increased,No,Frequently,4,9
51,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Daily,Monthly,Monthly,Weekly,Monthly,Monthly,Cashbacks on transaction amounts,Debit card,Very Important,Very Important,Moderately Important,Very Important,Important,Important,Very Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,No Change,Significantly Increased,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,5,10
25,Male,Business Owner,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Other,"Google Pay;No, I only use my primary UPI app",Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Monthly,Monthly,Monthly,Rarely,Rarely,Never,Daily,Monthly,Never,Cashbacks on transaction amounts,Credit card,Very Important,Very Important,Moderately Important,Important,Slightly Important,Important,Slightly Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly  Declined,Moderately Increased,No Change,No Change,Moderately Declined,Yes,Frequently,4,10
21,Female,Student,"Below ₹20,000",Semi urban,Yes,,Weekly,Google Pay,"No, I only use my primary UPI app",Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Monthly,Monthly,Monthly,Weekly,Monthly,Monthly,Monthly,Monthly,Monthly,Referral bonuses for inviting friends,Cash,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,No,Transaction Failures,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Yes,Frequently,4,8
24,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Weekly,Rarely,Monthly,Rarely,Monthly,Monthly,Rarely,Rarely,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Increased,Significantly Increased,Yes,Frequently,3,8
24,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Weekly,Monthly,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Cashbacks on transaction amounts,Debit card,Important,Important,Important,Important,Important,Important,Important,Important,Important,No,Technical Glitches,No Change,No Change,No Change,No Change,No Change,No Change,No Change,Yes,Frequently,4,7
